"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 12 22:21:19 MSK 2024","Tue Mar 12 22:21:19 MSK 2024","268","","User.UserCreateTest","","User.UserCreateTest","userCreateIsEmptyName","User create is empty name",""
"passed","Tue Mar 12 22:21:15 MSK 2024","Tue Mar 12 22:21:16 MSK 2024","634","","Order.OrderCreateTest","","Order.OrderCreateTest","orderCreateWithoutAuthorization","Create order without authorization",""
"passed","Tue Mar 12 22:21:15 MSK 2024","Tue Mar 12 22:21:15 MSK 2024","897","","Order.OrderCreateTest","","Order.OrderCreateTest","orderCreateWithoutAuthorizationAndChangeHashIngredient","Create order without authorization and change hash ingredient",""
"broken","Tue Mar 12 22:21:05 MSK 2024","Tue Mar 12 22:21:14 MSK 2024","8685","","Order.OrderCreateTest","","Order.OrderCreateTest","orderCreateByAuthorization","Create order by authorization",""
"broken","Tue Mar 12 22:21:23 MSK 2024","Tue Mar 12 22:21:23 MSK 2024","248","","User.UserUpdateTest","","User.UserUpdateTest","updateUserByAuthorization","Update user by authorization",""
"passed","Tue Mar 12 22:21:16 MSK 2024","Tue Mar 12 22:21:17 MSK 2024","1031","","Order.OrderGetTest","","Order.OrderGetTest","getAllOrders","Get all orders",""
"broken","Tue Mar 12 22:21:22 MSK 2024","Tue Mar 12 22:21:22 MSK 2024","272","","User.UserLoginLogoutTest","","User.UserLoginLogoutTest","userLogoutByValidCredentials","User logout by valid credentials",""
"passed","Tue Mar 12 22:21:20 MSK 2024","Tue Mar 12 22:21:20 MSK 2024","274","","User.UserCreateTest","","User.UserCreateTest","userCreateIsEmptyEmail","User create is empty email",""
"broken","Tue Mar 12 22:21:21 MSK 2024","Tue Mar 12 22:21:21 MSK 2024","252","","User.UserGetTest","","User.UserGetTest","userGetByValidCredentials","Get user by valid credentials",""
"passed","Tue Mar 12 22:21:19 MSK 2024","Tue Mar 12 22:21:19 MSK 2024","604","","Order.OrderGetTest","","Order.OrderGetTest","getAllIngredients","Get all ingredients",""
"broken","Tue Mar 12 22:21:22 MSK 2024","Tue Mar 12 22:21:22 MSK 2024","317","","User.UserLoginLogoutTest","","User.UserLoginLogoutTest","userLoginByEmptyEmail","User login is empty email",""
"broken","Tue Mar 12 22:21:21 MSK 2024","Tue Mar 12 22:21:22 MSK 2024","307","","User.UserLoginLogoutTest","","User.UserLoginLogoutTest","userLoginByEmptyPassword","User login is empty password",""
"passed","Tue Mar 12 22:21:20 MSK 2024","Tue Mar 12 22:21:20 MSK 2024","291","","User.UserCreateTest","","User.UserCreateTest","userCreateIsEmptyPassword","User create is empty password",""
"passed","Tue Mar 12 22:21:17 MSK 2024","Tue Mar 12 22:21:18 MSK 2024","869","","Order.OrderGetTest","","Order.OrderGetTest","getOrderWithoutAuthorizationUser","Get order without authorization user",""
"broken","Tue Mar 12 22:21:21 MSK 2024","Tue Mar 12 22:21:21 MSK 2024","267","","User.UserDeleteTest","","User.UserDeleteTest","userDeleteByValidCredentials","User delete by valid credentials",""
"broken","Tue Mar 12 22:21:19 MSK 2024","Tue Mar 12 22:21:20 MSK 2024","292","","User.UserCreateTest","","User.UserCreateTest","userCreateByValidCredentials","User create by valid credentials",""
"failed","Tue Mar 12 22:21:20 MSK 2024","Tue Mar 12 22:21:21 MSK 2024","503","","User.UserCreateTest","","User.UserCreateTest","repeatedRequestByCreateUser","Repeated request by create user",""
"broken","Tue Mar 12 22:21:23 MSK 2024","Tue Mar 12 22:21:23 MSK 2024","554","","User.UserUpdateTest","","User.UserUpdateTest","updateUserWithoutAuthorization","Update user without authorization",""
"broken","Tue Mar 12 22:21:22 MSK 2024","Tue Mar 12 22:21:23 MSK 2024","276","","User.UserLoginLogoutTest","","User.UserLoginLogoutTest","userLoginByValidCredentials","User login by valid credentials",""
"passed","Tue Mar 12 22:21:14 MSK 2024","Tue Mar 12 22:21:15 MSK 2024","414","","Order.OrderCreateTest","","Order.OrderCreateTest","orderCreateWithoutAuthorizationAndIngredients","Create order without authorization and ingredients",""
"broken","Tue Mar 12 22:21:18 MSK 2024","Tue Mar 12 22:21:19 MSK 2024","548","","Order.OrderGetTest","","Order.OrderGetTest","getOrderByAuthorizationUser","Get order by authorization user",""
